emp_no,first_name,last_name,birth_date,from_date,to_date,title
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,Senior Staff
11023,Yifei,Driscoll,1964-01-08,1990-06-12,9999-01-01,Senior Staff
11041,Stamatina,Matheson,1964-01-12,1998-01-29,9999-01-01,Senior Engineer
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11122,Aleksandar,Randi,1964-08-12,1995-10-15,9999-01-01,Senior Staff
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,Senior Engineer
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,Senior Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,Senior Staff
11200,Renny,Junet,1964-06-05,1995-04-08,9999-01-01,Technique Leader
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,Senior Staff
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,Senior Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,Senior Engineer
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,Senior Staff
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Senior Staff
11544,Elzbieta,Thimonier,1964-09-05,1996-10-22,9999-01-01,Senior Staff
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11598,Sariel,Ertl,1964-06-07,1994-04-02,9999-01-01,Senior Engineer
11623,Becky,Jullig,1964-03-18,1990-03-05,9999-01-01,Senior Engineer
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,Senior Engineer
11638,JoAnne,Falco,1964-04-28,1996-01-17,9999-01-01,Senior Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Senior Engineer
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,Senior Engineer
11752,Bingning,Etalle,1964-11-11,1992-11-10,9999-01-01,Senior Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,Senior Staff
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Senior Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,Senior Engineer
11794,Atreye,Ghandeharizadeh,1964-10-25,1992-09-04,9999-01-01,Senior Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Senior Staff
11816,Masako,Besselaar,1964-04-26,1991-08-05,9999-01-01,Senior Staff
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Senior Engineer
11850,Bikash,Maginnis,1964-10-23,1991-02-10,9999-01-01,Senior Staff
11912,Kristian,Giaccio,1964-08-15,1994-10-06,9999-01-01,Senior Engineer
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,Senior Engineer
11968,Mitchel,Dayang,1964-08-13,1995-08-08,9999-01-01,Senior Engineer
11981,LiMin,Horswill,1964-04-11,1990-09-14,9999-01-01,Senior Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12058,Qunsheng,Khamsi,1964-02-18,1991-08-06,9999-01-01,Senior Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Senior Engineer
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12096,Weiwu,Schlenzig,1964-04-12,1994-08-17,9999-01-01,Senior Staff
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,Senior Staff
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,Senior Engineer
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,9999-01-01,Senior Staff
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12176,Christoper,Holburn,1964-12-18,1994-07-05,9999-01-01,Senior Engineer
12246,Gill,Rehfuss,1964-01-17,1990-01-26,9999-01-01,Senior Staff
12285,Stepehn,Erman,1964-12-30,1991-02-21,9999-01-01,Senior Engineer
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Senior Engineer
12310,Chandrasekaran,Pettit,1964-08-04,1990-12-21,9999-01-01,Senior Engineer
12350,Somnath,Swan,1964-03-12,1996-08-25,9999-01-01,Senior Engineer
12386,Godehard,Litecky,1964-01-31,1993-10-19,9999-01-01,Senior Engineer
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12432,Fumino,Delgrange,1964-08-28,1991-07-03,9999-01-01,Technique Leader
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12449,Honesty,Iisaku,1964-04-20,1995-06-18,9999-01-01,Senior Staff
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,Senior Engineer
12467,Zhiwei,Bennis,1964-06-18,1999-01-07,9999-01-01,Technique Leader
12486,Joydip,Morrin,1964-09-08,1996-10-16,9999-01-01,Senior Engineer
12535,Kazuhiko,Bergere,1964-11-04,1991-02-22,9999-01-01,Technique Leader
12544,Kankanahalli,Hartvigsen,1964-10-13,1995-04-09,9999-01-01,Senior Engineer
12546,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,Senior Staff
12548,Chenxi,Baak,1964-06-25,1990-06-28,9999-01-01,Senior Engineer
12565,Theron,Mullainathan,1964-05-19,1989-06-16,9999-01-01,Senior Staff
12578,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,Senior Staff
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,Senior Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12757,Karlis,Cooke,1964-10-31,1995-06-24,9999-01-01,Senior Engineer
12762,Jaroslava,Koblitz,1964-04-27,1992-09-25,9999-01-01,Technique Leader
12771,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,Senior Staff
12797,Takushi,Turnbull,1964-04-27,1991-11-05,9999-01-01,Senior Engineer
12874,Patricio,Ramamoorthy,1964-03-05,1995-02-12,9999-01-01,Senior Staff
12920,Tetsushi,Legleitner,1964-05-06,1998-11-23,9999-01-01,Senior Engineer
12942,Maia,Dalphin,1964-11-09,1995-08-17,9999-01-01,Senior Engineer
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Senior Staff
12990,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,Senior Engineer
12996,Khalil,Madeira,1964-12-07,1992-08-26,9999-01-01,Senior Staff
13018,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,Senior Staff
13115,Jianhua,Comellas,1964-05-06,1995-08-21,9999-01-01,Senior Staff
13129,Martijn,Sigstam,1964-04-15,1997-11-17,9999-01-01,Senior Staff
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,Senior Staff
13176,Pranas,Thiria,1964-11-28,1990-09-07,9999-01-01,Senior Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Senior Engineer
13219,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,Technique Leader
13231,Pohua,Sessa,1964-05-05,1993-10-23,9999-01-01,Senior Engineer
13242,Kazuhiko,Ecklund,1964-10-17,1994-12-06,9999-01-01,Senior Engineer
13244,Khosrow,Yoshizawa,1964-10-27,1996-09-02,9999-01-01,Senior Staff
13251,Otilia,Lakshmanan,1964-06-28,1992-05-24,9999-01-01,Senior Engineer
13254,Chuanti,Thibadeau,1964-11-08,1998-01-20,9999-01-01,Senior Engineer
13268,Munehiro,Yurov,1964-04-29,1992-11-04,9999-01-01,Senior Staff
13314,Vasilis,Schlegelmilch,1964-01-23,1993-04-14,9999-01-01,Senior Staff
13326,Mario,Comte,1964-02-14,1996-06-22,9999-01-01,Senior Staff
13330,Sarita,Litvinov,1964-08-31,1993-08-19,9999-01-01,Senior Engineer
13348,Leaf,Wiegley,1964-04-25,1989-08-06,9999-01-01,Senior Staff
13370,Nidapan,Macedo,1964-08-22,1990-06-23,9999-01-01,Senior Staff
13397,Nimmagadda,Wilfing,1964-05-13,1987-06-25,9999-01-01,Senior Staff
13419,Bouchung,Leivant,1964-11-06,1996-05-25,9999-01-01,Senior Staff
13483,Arco,Ananiadou,1964-04-20,1990-01-09,9999-01-01,Senior Engineer
13484,Kristina,Setlzner,1964-09-05,1993-01-01,9999-01-01,Senior Staff
13494,Domenico,Baca,1964-04-07,1985-10-07,9999-01-01,Senior Engineer
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
13528,Fumitaka,Liesche,1964-02-21,2002-02-03,9999-01-01,Senior Staff
13533,Lorien,Crouzet,1964-01-29,1993-04-21,9999-01-01,Senior Staff
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Senior Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13572,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,Senior Staff
13599,Gor,Versino,1964-09-24,1992-11-12,9999-01-01,Senior Staff
13644,Shmuel,Spataro,1964-02-25,2001-04-25,9999-01-01,Senior Engineer
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,Senior Staff
13686,Parke,Sadowsky,1964-04-18,1990-09-16,9999-01-01,Senior Staff
13720,Rildo,Braccini,1964-07-13,1989-03-01,9999-01-01,Senior Staff
13728,Insup,Swab,1964-05-23,1986-01-03,9999-01-01,Senior Engineer
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Senior Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,Senior Staff
13793,Mokhtar,Rosar,1964-09-26,1990-03-04,9999-01-01,Senior Engineer
13802,Saniya,Benzmuller,1964-01-08,1998-11-18,9999-01-01,Senior Staff
13806,Abdelwaheb,Nitsch,1964-02-09,1990-02-05,9999-01-01,Senior Engineer
13816,Miquel,Maksimenko,1964-03-09,1992-09-17,9999-01-01,Senior Engineer
13823,Ebru,Montemayor,1964-07-07,1993-07-06,9999-01-01,Technique Leader
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,Senior Staff
13878,Shigeaki,Eiron,1964-03-19,1990-09-11,9999-01-01,Senior Staff
13879,Valery,Ambroszkiewicz,1964-11-16,1989-10-05,9999-01-01,Senior Engineer
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
13968,Selwyn,Unni,1964-09-09,1993-09-07,9999-01-01,Technique Leader
14043,Manohar,Dulin,1964-06-25,1993-01-21,9999-01-01,Technique Leader
14053,Kazuhiro,Haraldson,1964-01-10,1996-05-13,9999-01-01,Senior Staff
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,Senior Engineer
14081,Alain,Fontet,1964-05-04,1998-09-04,9999-01-01,Senior Staff
14095,Tonia,Underwood,1964-08-04,1988-12-03,9999-01-01,Senior Staff
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Senior Staff
14177,Gino,Stille,1964-08-01,1996-03-16,9999-01-01,Senior Staff
14185,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,Senior Staff
14190,Leon,Tomescu,1964-07-23,1989-03-13,9999-01-01,Senior Engineer
14201,Chirstian,Carrere,1964-07-03,1995-07-01,9999-01-01,Senior Engineer
14239,Martijn,Wallrath,1964-09-24,1989-10-16,9999-01-01,Senior Staff
14255,Shigeo,Tramer,1964-05-07,1994-02-28,9999-01-01,Senior Staff
14271,Rosita,Bernatsky,1964-05-17,1989-02-17,9999-01-01,Senior Staff
14278,Kazuhiro,Schapiro,1964-10-25,1991-11-29,9999-01-01,Senior Staff
14334,Pradeep,Waleschkowski,1964-12-15,1988-07-06,9999-01-01,Senior Engineer
14343,Pranav,Rotem,1964-04-22,1994-06-29,9999-01-01,Senior Staff
14352,Sudhanshu,Braccini,1964-07-03,1996-10-06,9999-01-01,Senior Engineer
14356,Remko,Zeidenstein,1964-04-15,1985-06-04,9999-01-01,Senior Engineer
14396,Charmane,Gubsky,1964-12-17,1989-10-26,9999-01-01,Senior Staff
14451,Hirochika,Tagansky,1964-05-20,1995-07-19,9999-01-01,Senior Engineer
14459,Aruna,Boreale,1964-09-21,1997-06-04,9999-01-01,Technique Leader
14468,Unal,Ertl,1964-12-03,1992-09-02,9999-01-01,Senior Staff
14477,Frederique,Coors,1964-07-21,1994-09-30,9999-01-01,Senior Staff
14479,Thodoros,Suessmith,1964-08-22,1991-11-27,9999-01-01,Senior Staff
14503,Bernd,Beerel,1964-06-04,1989-09-07,9999-01-01,Senior Engineer
14504,Lidong,Sidje,1964-02-27,1998-01-12,9999-01-01,Senior Staff
14517,Kwangho,Hatcliff,1964-02-28,1997-04-07,9999-01-01,Senior Engineer
14523,Leif,Busillo,1964-06-13,1994-07-21,9999-01-01,Senior Staff
14541,Suebskul,Terwilliger,1964-12-26,1996-04-25,9999-01-01,Senior Staff
14592,Paddy,Keohane,1964-03-31,1993-10-26,9999-01-01,Senior Engineer
14598,Brigham,Dusink,1964-04-21,1991-07-14,9999-01-01,Senior Engineer
14618,Cedric,Brlek,1964-09-04,1989-12-26,9999-01-01,Senior Staff
14671,Elliott,Perri,1964-02-23,1987-08-05,9999-01-01,Senior Engineer
14672,Parto,Pietracaprina,1964-07-01,1995-05-21,9999-01-01,Senior Staff
14694,Nigel,Suessmith,1964-04-23,1993-06-27,9999-01-01,Senior Engineer
14698,Kirk,Kambil,1964-03-13,1992-07-02,9999-01-01,Senior Staff
14757,Kerhong,Eiter,1964-01-26,1992-06-22,9999-01-01,Senior Staff
14769,Paraskevi,Demeyer,1964-01-28,1996-08-15,9999-01-01,Senior Engineer
14779,Xianlong,Benaini,1964-01-12,1992-05-02,9999-01-01,Senior Engineer
14783,Gennadi,Fasbender,1964-07-26,1987-08-26,9999-01-01,Senior Staff
14792,Aiichiro,Michaeli,1964-11-23,1996-04-13,9999-01-01,Technique Leader
14795,Dung,Merkl,1964-06-07,1995-11-25,9999-01-01,Technique Leader
14813,Naftali,Alpin,1964-08-16,1985-10-21,9999-01-01,Senior Staff
14847,Matk,Perng,1964-08-16,1995-09-07,9999-01-01,Senior Staff
14870,Weicheng,Stranks,1964-11-21,1992-12-26,9999-01-01,Senior Engineer
14893,Jacqueline,Bael,1964-04-18,1988-05-23,9999-01-01,Senior Engineer
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
14917,Munir,Hofman,1964-02-23,1994-09-08,9999-01-01,Senior Staff
14931,Heeju,Luef,1964-11-15,1997-05-23,9999-01-01,Senior Engineer
14938,King,Mitina,1964-01-03,1986-04-30,9999-01-01,Senior Staff
14944,Jixiang,Douceur,1964-01-30,1991-09-27,9999-01-01,Senior Staff
14951,Temple,Goodrum,1964-12-30,1991-12-24,9999-01-01,Senior Staff
14953,Chinya,Wallrath,1964-02-17,1986-08-25,9999-01-01,Senior Engineer
14969,Hongzue,Himler,1964-01-23,1986-01-03,9999-01-01,Senior Staff
14974,Joydip,Adachi,1964-05-21,1990-02-12,9999-01-01,Senior Engineer
15001,Brewster,Kawashimo,1964-06-19,1985-02-02,9999-01-01,Senior Engineer
15022,Krisda,Mitchem,1964-08-26,1996-09-27,9999-01-01,Senior Engineer
15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Senior Engineer
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Senior Staff
15125,Heather,Brodal,1964-09-13,1995-11-20,9999-01-01,Senior Staff
15149,Erzsebet,Chandrasekhar,1964-02-11,1999-03-08,9999-01-01,Senior Engineer
15173,KayLiang,Naumovich,1964-11-16,1993-01-03,9999-01-01,Senior Engineer
15189,Pascal,Strandh,1964-11-09,1988-06-11,9999-01-01,Senior Engineer
15191,Kazuhiro,Seuren,1964-02-12,1989-01-08,9999-01-01,Technique Leader
15235,Zhongwei,Luff,1964-05-16,1990-10-16,9999-01-01,Senior Staff
15257,Ishfaq,Schauser,1964-07-03,1987-09-16,9999-01-01,Senior Staff
15293,Pantung,Puppo,1964-04-29,2000-08-09,9999-01-01,Technique Leader
15327,Jeanne,Vakili,1964-09-21,1990-07-10,9999-01-01,Technique Leader
15355,Hisao,Yurov,1964-09-16,1987-10-09,9999-01-01,Senior Engineer
15364,Sakthirel,Quittner,1964-02-19,1999-05-06,9999-01-01,Senior Staff
15393,Fumitaka,Itzigehl,1964-08-08,1992-11-25,9999-01-01,Senior Staff
15397,Remco,Gargeya,1964-02-29,1990-08-13,9999-01-01,Senior Engineer
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
15436,Kwangsub,Negoita,1964-03-13,1999-01-27,9999-01-01,Senior Staff
15437,Qiwen,Garigliano,1964-01-21,1991-04-18,9999-01-01,Senior Engineer
15444,Shir,Schreiter,1964-08-01,1989-03-08,9999-01-01,Senior Engineer
15449,Yinghua,Kropf,1964-04-17,2001-03-27,9999-01-01,Senior Staff
15457,Boalin,Scallan,1964-07-06,1989-12-26,9999-01-01,Senior Staff
15485,Sadun,Comellas,1964-07-16,1988-11-07,9999-01-01,Senior Engineer
15486,Mariangiola,Zhang,1964-06-14,1989-02-20,9999-01-01,Senior Engineer
15495,Sven,Rotem,1964-06-04,1988-05-25,9999-01-01,Senior Staff
15502,Susanne,Rahier,1964-11-10,1991-05-14,9999-01-01,Senior Engineer
15533,Gift,Gien,1964-04-30,1989-05-21,9999-01-01,Senior Staff
15542,Mariangiola,Hardjono,1964-03-01,1988-04-26,9999-01-01,Senior Engineer
15547,Leandro,Murillo,1964-03-05,1987-02-03,9999-01-01,Senior Engineer
15574,Evgueni,Kalloufi,1964-04-24,1988-12-19,9999-01-01,Senior Staff
15599,Filipe,Piancastelli,1964-11-23,1987-02-16,9999-01-01,Senior Staff
15620,Alejandro,Randi,1964-04-10,1987-02-14,9999-01-01,Senior Staff
15624,Marit,Codenie,1964-04-15,1991-05-26,9999-01-01,Technique Leader
15663,Bartek,Maccarone,1964-10-08,1990-04-18,9999-01-01,Senior Engineer
15725,Shuichi,Petersohn,1964-07-04,1987-11-04,9999-01-01,Senior Staff
15792,Stabislas,Suessmith,1964-09-27,1993-02-24,9999-01-01,Technique Leader
15797,Qingxiang,Rosis,1964-11-20,1991-04-24,9999-01-01,Senior Engineer
15817,Kagan,Frolund,1964-05-19,1990-12-04,9999-01-01,Senior Engineer
15823,Angus,Langford,1964-02-21,1994-10-29,9999-01-01,Senior Staff
15852,Nathalie,Bonifati,1964-10-22,1988-06-01,9999-01-01,Senior Engineer
15862,Gao,Wrigley,1964-04-24,1995-05-05,9999-01-01,Senior Engineer
15881,Ortrun,Luby,1964-05-11,1986-09-27,9999-01-01,Senior Engineer
15888,Salvador,Zumaque,1964-04-14,1987-08-07,9999-01-01,Senior Staff
15897,Menkae,Perez,1964-11-08,1996-01-07,9999-01-01,Senior Engineer
15898,Zengping,Bail,1964-03-14,1996-04-25,9999-01-01,Senior Staff
15950,Subir,Baak,1964-01-27,1993-08-16,9999-01-01,Senior Staff
15953,Make,Steinauer,1964-07-26,1990-11-04,9999-01-01,Senior Staff
15980,Bernardo,Kakkad,1964-10-07,1992-10-21,9999-01-01,Senior Staff
15998,Urs,Speel,1964-03-16,1995-07-21,9999-01-01,Senior Staff
16007,Premsyl,Dalton,1964-05-30,1988-04-15,9999-01-01,Senior Engineer
16021,Mary,Ananiadou,1964-06-04,1994-05-21,9999-01-01,Senior Engineer
16031,Elliott,Parveen,1964-11-03,1993-12-17,9999-01-01,Senior Staff
16048,Rance,Demir,1964-05-13,1994-12-13,9999-01-01,Senior Staff
16091,Yucai,Belinskaya,1964-09-28,1987-01-10,9999-01-01,Senior Engineer
16098,Stella,Fortenbacher,1964-12-11,1985-09-30,9999-01-01,Senior Engineer
16115,Haldun,Silva,1964-11-30,1985-11-14,9999-01-01,Senior Staff
16125,Mori,Alpin,1964-08-19,1989-11-12,9999-01-01,Senior Engineer
16128,Guenter,Bain,1964-05-17,1994-07-13,9999-01-01,Senior Engineer
16210,Paloma,Hardjono,1964-10-22,1991-01-18,9999-01-01,Senior Staff
16275,Maja,Ruemmler,1964-06-08,1987-11-25,9999-01-01,Senior Engineer
16303,Jamaludin,VanScheik,1964-02-27,1989-03-13,9999-01-01,Senior Staff
16321,Parviz,Schlenzig,1964-07-16,1989-01-13,9999-01-01,Senior Staff
16344,Odoardo,Brlek,1964-03-18,1996-03-31,9999-01-01,Senior Engineer
16356,Sibyl,Woycyznski,1964-06-25,1988-12-05,9999-01-01,Senior Staff
16371,Duri,Danlos,1964-03-25,1987-05-12,9999-01-01,Senior Staff
16376,Mamdouh,Smailagic,1964-01-21,1997-04-07,9999-01-01,Senior Engineer
16394,Chinho,Gluchowski,1964-01-16,1986-02-03,9999-01-01,Senior Staff
16416,Ramzi,Kaltofen,1964-01-30,1995-12-29,9999-01-01,Senior Engineer
16428,Arun,Chinin,1964-09-05,2000-06-02,9999-01-01,Senior Staff
16458,Lubomir,Ulupinar,1964-08-12,1994-12-17,9999-01-01,Senior Staff
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Senior Staff
16468,Adel,Thiran,1964-01-30,1990-09-15,9999-01-01,Senior Engineer
16476,Mitsuyuki,Huttel,1964-02-15,1988-04-22,9999-01-01,Technique Leader
16513,Toney,Auria,1964-10-15,1987-03-03,9999-01-01,Senior Staff
16573,Uinam,Swick,1964-01-19,1991-06-13,9999-01-01,Senior Engineer
16598,Sivanarayana,Hiltgen,1964-12-21,1990-05-13,9999-01-01,Senior Engineer
16610,Geoffry,Holburn,1964-06-11,1989-08-02,9999-01-01,Senior Staff
16638,Masanao,Rouquie,1964-08-05,1992-03-05,9999-01-01,Senior Staff
16710,Arumugam,Escriba,1964-01-10,1993-01-31,9999-01-01,Senior Staff
16745,Xianlong,Zwicker,1964-02-16,1994-07-09,9999-01-01,Senior Staff
16822,Shen,Spell,1964-01-08,1989-03-03,9999-01-01,Senior Staff
16865,Gou,Rosin,1964-06-12,1986-01-08,9999-01-01,Senior Staff
16946,Owen,Quaggetto,1964-11-02,1997-03-03,9999-01-01,Senior Engineer
16963,Monique,Lalonde,1964-11-07,1988-07-06,9999-01-01,Senior Engineer
16968,Patricio,Stifter,1964-07-16,1991-01-23,9999-01-01,Senior Engineer
17009,Carrsten,Jansen,1964-07-22,1992-11-19,9999-01-01,Senior Staff
17013,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Senior Staff
17026,Sham,Hockney,1964-11-21,1986-05-29,9999-01-01,Senior Staff
17027,Quingbo,Birge,1964-05-28,1993-02-15,9999-01-01,Senior Staff
17083,Masoud,Gurbaxani,1964-12-17,1993-10-11,9999-01-01,Senior Engineer
17094,Nagui,Lorcy,1964-05-26,1995-10-05,9999-01-01,Senior Engineer
